Date,Year,Month_Num,Month_Name,Quarter,Quarter_Label,Week_Num,Day_Name,Day_Num,Is_Weekend,Is_Month_Start,Is_Month_End
2017-07-25,2017,7,July,3,Q3 2017,30,Tuesday,25,0,0,0
2017-07-26,2017,7,July,3,Q3 2017,30,Wednesday,26,0,0,0
2017-07-27,2017,7,July,3,Q3 2017,30,Thursday,27,0,0,0
2017-07-28,2017,7,July,3,Q3 2017,30,Friday,28,0,0,0
2017-07-29,2017,7,July,3,Q3 2017,30,Saturday,29,1,0,0
2017-07-30,2017,7,July,3,Q3 2017,30,Sunday,30,1,0,0
2017-07-31,2017,7,July,3,Q3 2017,31,Monday,31,0,0,1
2017-08-01,2017,8,August,3,Q3 2017,31,Tuesday,1,0,1,0
2017-08-02,2017,8,August,3,Q3 2017,31,Wednesday,2,0,0,0
2017-08-03,2017,8,August,3,Q3 2017,31,Thursday,3,0,0,0
2017-08-04,2017,8,August,3,Q3 2017,31,Friday,4,0,0,0
2017-08-05,2017,8,August,3,Q3 2017,31,Saturday,5,1,0,0
2017-08-06,2017,8,August,3,Q3 2017,31,Sunday,6,1,0,0
2017-08-07,2017,8,August,3,Q3 2017,32,Monday,7,0,0,0
2017-08-08,2017,8,August,3,Q3 2017,32,Tuesday,8,0,0,0
2017-08-09,2017,8,August,3,Q3 2017,32,Wednesday,9,0,0,0
2017-08-10,2017,8,August,3,Q3 2017,32,Thursday,10,0,0,0
2017-08-11,2017,8,August,3,Q3 2017,32,Friday,11,0,0,0
2017-08-12,2017,8,August,3,Q3 2017,32,Saturday,12,1,0,0
2017-08-13,2017,8,August,3,Q3 2017,32,Sunday,13,1,0,0
2017-08-14,2017,8,August,3,Q3 2017,33,Monday,14,0,0,0
2017-08-15,2017,8,August,3,Q3 2017,33,Tuesday,15,0,0,0
2017-08-16,2017,8,August,3,Q3 2017,33,Wednesday,16,0,0,0
2017-08-17,2017,8,August,3,Q3 2017,33,Thursday,17,0,0,0
2017-08-18,2017,8,August,3,Q3 2017,33,Friday,18,0,0,0
2017-08-19,2017,8,August,3,Q3 2017,33,Saturday,19,1,0,0
2017-08-20,2017,8,August,3,Q3 2017,33,Sunday,20,1,0,0
2017-08-21,2017,8,August,3,Q3 2017,34,Monday,21,0,0,0
2017-08-22,2017,8,August,3,Q3 2017,34,Tuesday,22,0,0,0
